media	mediaws	growth	geneko	addtlCpd										
Nitrogen-Allantoin	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Ammonia	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Biuret	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-b-Phenylethylamine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Cytidine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-D-Alanine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-d-Amino-N-Valeric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-D-Asparagine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-D-Aspartic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-D-Galactosamine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-D-Glutamic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-D-L-a-Amino-N-Butyric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-D-Lysine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-D-Mannosamine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-D-Serine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-D-Valine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-e-Amino-N-Caproic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Ethanolamine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Ethylamine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-g-Amino-N-Butyric-Acid	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Gly-Gln	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Gly-Met	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Guanine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Guanosine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Histamine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Hydroxylamine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-Inosine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Aspartic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Citrulline	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Cysteine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Glutamic-Acid	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Glutamine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Histidine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Homoserine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Isoleucine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Leucine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Lysine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Methionine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Ornithine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Phenylalanine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Pyroglutamic-Acid	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-L-Serine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-L-Threonine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-L-Tryptophan	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Tyrosine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-L-Valine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Methylamine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Nitrate	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Nitrite	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Putrescine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Thymine	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-Tyramine	excalibur0:narrative_1547442516441	1	none	none										
Nitrogen-Uracil	excalibur0:narrative_1547442516441	0	none	none										
Nitrogen-Urea	excalibur0:narrative_1547442516441	1	none	none										
